,Item,Old Price,Sale Price,Store
0,Samsung Fast Adaptive Charger Original 2 Pack with 2 Micro USB OR...,$49.99,$12.99,groupon.com
1,Samsung Fast Adaptive Charger Original 2 Pack with 2 Micro USB OR...,$49.99,$12.99,groupon.com
2,Samsung Fast Adaptive Charger Original 2 Pack with 2 Micro USB OR...,$49.99,$12.99,groupon.com
3,Samsung Fast Adaptive Charger Original 2 Pack with 2 Micro USB OR...,$49.99,$12.99,groupon.com
4,Samsung Fast Adaptive Charger Original 2 Pack with 2 Micro USB OR...,$49.99,$12.99,groupon.com
5,Samsung Fast Adaptive Charger Original 2 Pack with 2 Micro USB OR...,$49.99,$12.99,groupon.com
6,Samsung Fast Adaptive Charger Original 2 Pack with 2 Micro USB OR...,$49.99,$12.99,groupon.com
7,Samsung Fast Adaptive Charger Original 2 Pack with 2 Micro USB OR...,$49.99,$12.99,groupon.com
8,Samsung Fast Adaptive Charger Original 2 Pack with 2 Micro USB OR...,$49.99,$12.99,groupon.com
9,Samsung Fast Adaptive Charger Original 2 Pack with 2 Micro USB OR...,$49.99,$12.99,groupon.com
10,Samsung Fast Adaptive Charger Original 2 Pack with 2 Micro USB OR...,$49.99,$12.99,groupon.com
11,Fiery Opal Tennis Bracelet Made with Swarovski Elements,$149.98,$12.99,groupon.com
12,Fiery Opal Tennis Bracelet Made with Swarovski Elements,$149.98,$12.99,groupon.com
13,Abercrombie & Fitch FIERCE for Men Eau De Cologne Spray,$106.99,$86.98,groupon.com
14,Abercrombie & Fitch FIERCE for Men Eau De Cologne Spray,$106.99,$86.98,groupon.com
15,Juicy Couture Eau de Parfum Spray for Women (3.4 Fl. Oz.),$90,$34.99,groupon.com
16,Juicy Couture Eau de Parfum Spray for Women (3.4 Fl. Oz.),$90,$34.99,groupon.com
17,CBD Gummies from Happy Hemp,$23.99,$15.99,groupon.com
18,CBD Gummies from Happy Hemp,$23.99,$15.99,groupon.com
19,3.44 CTTW Halo Stud Earrings with Swarovski Elements,$79,$9.99,groupon.com
20,3.44 CTTW Halo Stud Earrings with Swarovski Elements,$79,$9.99,groupon.com
21,Emeril Stainless Steel Knife Block Set (18-Piece) | Groupon Exclusive,$249.99,$49.99,groupon.com
22,Emeril Stainless Steel Knife Block Set (18-Piece) | Groupon Exclusive,$249.99,$49.99,groupon.com
23,Brusheez Children's Electronic Toothbrush Set,$29.99,$19.99,groupon.com
24,Brusheez Children's Electronic Toothbrush Set,$29.99,$19.99,groupon.com
25,Titanium Herb Grinder With Side Opening,$19.99,$6,groupon.com
26,Titanium Herb Grinder With Side Opening,$19.99,$6,groupon.com
27,Women's Fishnet Tights (6-Pack). Plus Sizes Available.,$59.99,$18.99,groupon.com
28,Women's Fishnet Tights (6-Pack). Plus Sizes Available.,$59.99,$18.99,groupon.com
29,Women's Fleece-Lined Loose-Fit Cargo Joggers,$29.99,$12.99,groupon.com
30,Women's Fleece-Lined Loose-Fit Cargo Joggers,$29.99,$12.99,groupon.com
31,Pureology Hydrate Shampoo and Conditioner Liter Duo,$138,$76.99,groupon.com
32,Pureology Hydrate Shampoo and Conditioner Liter Duo,$138,$76.99,groupon.com
33,Galaxy by Harvic Men's French Terry Ripped Pullover Hoodie (S-3XL),$58,$14.99,groupon.com
34,Galaxy by Harvic Men's French Terry Ripped Pullover Hoodie (S-3XL),$58,$14.99,groupon.com
35,"Unite 7 Seconds Detangler, Shampoo, Blonda, Boosta Spray, or U Oil",$10.50,$7.99,groupon.com
36,"Unite 7 Seconds Detangler, Shampoo, Blonda, Boosta Spray, or U Oil",$10.50,$7.99,groupon.com
37,Wild Growth Hair Care System,$24.99,$12.99,groupon.com
38,Wild Growth Hair Care System,$24.99,$12.99,groupon.com
39,0.25 CTTW White Fire Opal and Amethyst Stud Earrings,$42.39,$9.99,groupon.com
40,0.25 CTTW White Fire Opal and Amethyst Stud Earrings,$42.39,$9.99,groupon.com
41,Dolce & Gabbana Light Blue Eau de Toilette for Men (Multiple Sizes),$70,$42.99,groupon.com
42,Dolce & Gabbana Light Blue Eau de Toilette for Men (Multiple Sizes),$70,$42.99,groupon.com
43,7-Pocket Utility Shopping Tote Bag for Market and Picnic,$29.99,$9.99,groupon.com
44,7-Pocket Utility Shopping Tote Bag for Market and Picnic,$29.99,$9.99,groupon.com
45,Streetwise Security Self Defense 21M Volt Stun Gun & Alarm,$22.99,$14.99,groupon.com
46,Streetwise Security Self Defense 21M Volt Stun Gun & Alarm,$22.99,$14.99,groupon.com
47,OEM Samsung Fast Charger with 2 USB C Type C Cables for S8 S8 Plus...,$49.99,$8.99,groupon.com
48,OEM Samsung Fast Charger with 2 USB C Type C Cables for S8 S8 Plus...,$49.99,$8.99,groupon.com
49,Dove Antiperspirant Spray for Women (10-Pack),$37.99,$26.99,groupon.com
50,Dove Antiperspirant Spray for Women (10-Pack),$37.99,$26.99,groupon.com
51,Paco Rabanne 1 Million Eau de Toilette for Men,$90,$62.99,groupon.com
52,Paco Rabanne 1 Million Eau de Toilette for Men,$90,$62.99,groupon.com
53,Just CBD Gummy Bears,$23.99,$18.99,groupon.com
54,Just CBD Gummy Bears,$23.99,$18.99,groupon.com
55,Luxe Eternity Rings Made with Swarovski Crystals (Multiple Options),$95,$12.99,groupon.com
56,Luxe Eternity Rings Made with Swarovski Crystals (Multiple Options),$95,$12.99,groupon.com
57,Heart Cable Initial Bracelet by Pink Box,$64,$8.99,groupon.com
58,Heart Cable Initial Bracelet by Pink Box,$64,$8.99,groupon.com
59,Waterproof Dildo Rabbit Vibrator 30 Speed G-spot Clitoris Stimulator,$83,$9.99,groupon.com
60,Waterproof Dildo Rabbit Vibrator 30 Speed G-spot Clitoris Stimulator,$83,$9.99,groupon.com
61,World's First Apple Cider Vinegar Gummy Vitamins by Goli Nutrition...,$50,$38,groupon.com
62,World's First Apple Cider Vinegar Gummy Vitamins by Goli Nutrition...,$50,$38,groupon.com
63,DCF Bright Knee-High Compression Socks (6-Pack),$79.99,$21.99,groupon.com
64,DCF Bright Knee-High Compression Socks (6-Pack),$79.99,$21.99,groupon.com
65,DCF Unisex Fun and Expressive Compression Socks (3-Pack),$89.99,$15.99,groupon.com
66,DCF Unisex Fun and Expressive Compression Socks (3-Pack),$89.99,$15.99,groupon.com
67,7 Genuine Chakra Healing Natural Stone Bead Bracelet by DreamGem,$24.59,$5,groupon.com
68,7 Genuine Chakra Healing Natural Stone Bead Bracelet by DreamGem,$24.59,$5,groupon.com
69,Versace Dylan Blue Eau De Parfum for Women (1.7 or 3.4 Fl.Oz.),$92,$48.99,groupon.com
70,Versace Dylan Blue Eau De Parfum for Women (1.7 or 3.4 Fl.Oz.),$92,$48.99,groupon.com
71,L'Artiste Sterling Silver Split Shank Ring Made w/ Swarovski Elements,$399.99,$17.99,groupon.com
72,L'Artiste Sterling Silver Split Shank Ring Made w/ Swarovski Elements,$399.99,$17.99,groupon.com
73,3D Design Silicone Case for AirPods 1 & 2 (2-Piece) (LED Not Visible),$19.99,$9.99,groupon.com
74,3D Design Silicone Case for AirPods 1 & 2 (2-Piece) (LED Not Visible),$19.99,$9.99,groupon.com
75,Gino Vitale Men's Lace Up Medallion Toe Dress Shoes,$110,$29.99,groupon.com
76,Gino Vitale Men's Lace Up Medallion Toe Dress Shoes,$110,$29.99,groupon.com
77,USB Type C Cables for Samsung S8 S9 S10 Note Adaptive Fast Dual Car...,$12.99,$4.99,groupon.com
78,USB Type C Cables for Samsung S8 S9 S10 Note Adaptive Fast Dual Car...,$12.99,$4.99,groupon.com
79,Purafilter Gold High-Efficiency Furnace Air Filters (4-Pack),$47.97,$29.99,groupon.com
80,Purafilter Gold High-Efficiency Furnace Air Filters (4-Pack),$47.97,$29.99,groupon.com
81,CBD Gummies from JustCBD (250mg-3000mg),$23.99,$18.99,groupon.com
82,CBD Gummies from JustCBD (250mg-3000mg),$23.99,$18.99,groupon.com
83,Haute Edition Women's Soft Pullover Sweatshirt. Plus Sizes Available.,$34,$18.99,groupon.com
84,Haute Edition Women's Soft Pullover Sweatshirt. Plus Sizes Available.,$34,$18.99,groupon.com
85,Hanging Handbag Organizer with 8 Easy-Access Transparent Pockets,$24.99,$11.99,groupon.com
86,Hanging Handbag Organizer with 8 Easy-Access Transparent Pockets,$24.99,$11.99,groupon.com
87,"Streetwise Security Jolt 75,000,000 Volt Stun Gun and Flashlight",$19.99,$14.99,groupon.com
88,"Streetwise Security Jolt 75,000,000 Volt Stun Gun and Flashlight",$19.99,$14.99,groupon.com
89,Baby Foot - Original Exfoliant Foot Peel - Lavender Scented Pair,$25.99,$12.99,groupon.com
90,Baby Foot - Original Exfoliant Foot Peel - Lavender Scented Pair,$25.99,$12.99,groupon.com
91,Brain Quest Kids' Question-and-Answer Game,$11.95,$9.99,groupon.com
92,Brain Quest Kids' Question-and-Answer Game,$11.95,$9.99,groupon.com
93,Galaxy By Harvic Men's Regular-Fit Fleece Jogger Sweatpants (S–2XL),$49.50,$10.99,groupon.com
94,Galaxy By Harvic Men's Regular-Fit Fleece Jogger Sweatpants (S–2XL),$49.50,$10.99,groupon.com
95,"Aduro Apple-Certified Cloth Lightning-to-USB Cables (1, 2, or 3-Pack)",$19.99,$8.99,groupon.com
96,"Aduro Apple-Certified Cloth Lightning-to-USB Cables (1, 2, or 3-Pack)",$19.99,$8.99,groupon.com
97,Pain Relief Cream with Organic CBD and Menthol from Sunset CBD,$39.99,$11.99,groupon.com
98,Pain Relief Cream with Organic CBD and Menthol from Sunset CBD,$39.99,$11.99,groupon.com
99,Solid Stainless Steel Inspirational Cable Bangle By Pink Box,$135,$8.99,groupon.com
100,Solid Stainless Steel Inspirational Cable Bangle By Pink Box,$135,$8.99,groupon.com
101,Acrylic Q-Tip Storage Dispenser,$12.99,$7.99,groupon.com
102,Acrylic Q-Tip Storage Dispenser,$12.99,$7.99,groupon.com
103,Women Long Sleeve Print Mama Bear Crew Neck Elbow Patch Top,$50,$8.99,groupon.com
104,Women Long Sleeve Print Mama Bear Crew Neck Elbow Patch Top,$50,$8.99,groupon.com
105,Women Long Sleeve Print Mama Bear Crew Neck Elbow Patch Top,$50,$8.99,groupon.com
106,Women Long Sleeve Print Mama Bear Crew Neck Elbow Patch Top,$50,$8.99,groupon.com
107,Women Long Sleeve Print Mama Bear Crew Neck Elbow Patch Top,$50,$8.99,groupon.com
108,Women Long Sleeve Print Mama Bear Crew Neck Elbow Patch Top,$50,$8.99,groupon.com
109,Women Long Sleeve Print Mama Bear Crew Neck Elbow Patch Top,$50,$8.99,groupon.com
110,Women Long Sleeve Print Mama Bear Crew Neck Elbow Patch Top,$50,$8.99,groupon.com
111,Women Long Sleeve Print Mama Bear Crew Neck Elbow Patch Top,$50,$8.99,groupon.com
112,Women Long Sleeve Print Mama Bear Crew Neck Elbow Patch Top,$50,$8.99,groupon.com
113,Women Long Sleeve Print Mama Bear Crew Neck Elbow Patch Top,$50,$8.99,groupon.com
114,Women Long Sleeve Print Mama Bear Crew Neck Elbow Patch Top,$50,$8.99,groupon.com
115,Women's High-Waist Light-Control Briefs (6-Pk.). Plus Sizes Available.,$70,$21.99,groupon.com
116,Women's High-Waist Light-Control Briefs (6-Pk.). Plus Sizes Available.,$70,$21.99,groupon.com
117,Pink Box Stainless Steel Initial Bangle with Crystals from Swarovski,$55,$9.99,groupon.com
118,Pink Box Stainless Steel Initial Bangle with Crystals from Swarovski,$55,$9.99,groupon.com
119,Herb & Spice Stash Box Sets,$79.99,$24.99,groupon.com
120,Herb & Spice Stash Box Sets,$79.99,$24.99,groupon.com
121,Masterplug Extension Cord Reels and Accessories,$27.99,$23.99,groupon.com
122,Masterplug Extension Cord Reels and Accessories,$27.99,$23.99,groupon.com
123,Leg Avenue Women's Industrial Net Suspender Fishnets,$10,$9.99,groupon.com
124,Leg Avenue Women's Industrial Net Suspender Fishnets,$10,$9.99,groupon.com
125,"6-Foot Apple-Certified Lightning Cable for iPhone (1-, 2-, or 3-Pack)",$39.99,$9.99,groupon.com
126,"6-Foot Apple-Certified Lightning Cable for iPhone (1-, 2-, or 3-Pack)",$39.99,$9.99,groupon.com
127,Women's Knee-Length Spring Hacci Cardigan. Plus Sizes Available.,$69.50,$19.99,groupon.com
128,Women's Knee-Length Spring Hacci Cardigan. Plus Sizes Available.,$69.50,$19.99,groupon.com
129,Collapsible Wire Frame Utility Basket Shopping Tote,$34.99,$17.99,groupon.com
130,Collapsible Wire Frame Utility Basket Shopping Tote,$34.99,$17.99,groupon.com
131,Elite Sonic Toothbrush with UV Sanitizing Charging Base,$259,$42.99,groupon.com
132,Elite Sonic Toothbrush with UV Sanitizing Charging Base,$259,$42.99,groupon.com
133,Barzel 18K Gold Plated Ring Made with Swarovski Crystal,$49.50,$12.99,groupon.com
134,Barzel 18K Gold Plated Ring Made with Swarovski Crystal,$49.50,$12.99,groupon.com
135,Replacement Toothbrush Brush Heads Sets for Oral-B (12pk or 20pk),$27.99,$9.99,groupon.com
136,Replacement Toothbrush Brush Heads Sets for Oral-B (12pk or 20pk),$27.99,$9.99,groupon.com
137,Fashion 925 Sterling Silver Yellow Gold Natural Gemstone Emerald Rings,$30,$4.99,groupon.com
138,Fashion 925 Sterling Silver Yellow Gold Natural Gemstone Emerald Rings,$30,$4.99,groupon.com
139,Women's Loose-Fit Fleece-Lined Cargo Joggers (3-Pack),$89.97,$29.99,groupon.com
140,Women's Loose-Fit Fleece-Lined Cargo Joggers (3-Pack),$89.97,$29.99,groupon.com
141,4.00 CTTW Cultured Pearl in 18K Gold,$25,$5,groupon.com
142,4.00 CTTW Cultured Pearl in 18K Gold,$25,$5,groupon.com
143,XTF Medical Professional Knee-High Compression Socks (3- or 6-Pairs),$39.99,$16.99,groupon.com
144,XTF Medical Professional Knee-High Compression Socks (3- or 6-Pairs),$39.99,$16.99,groupon.com
145,Genuine Handmade Turquoise Sea Turtles Bracelet by DREAMGEM,$11.11,$5,groupon.com
146,Genuine Handmade Turquoise Sea Turtles Bracelet by DREAMGEM,$11.11,$5,groupon.com
147,Dove Antiperspirant Spray Deodorant For Men (10-Pack; 150ml),$37,$26.99,groupon.com
148,Dove Antiperspirant Spray Deodorant For Men (10-Pack; 150ml),$37,$26.99,groupon.com
149,Marquee Tech Wireless Charging Digital Alarm Clock,$99.99,$23.99,groupon.com
150,Marquee Tech Wireless Charging Digital Alarm Clock,$99.99,$23.99,groupon.com
151,Hempz Herbal Body Moisturizer 17oz,$23,$10.99,groupon.com
152,Hempz Herbal Body Moisturizer 17oz,$23,$10.99,groupon.com
153,Traq65 By RAG Women's High-Waist Active Skorts. Plus Sizes Available.,$58,$13.99,groupon.com
154,Traq65 By RAG Women's High-Waist Active Skorts. Plus Sizes Available.,$58,$13.99,groupon.com
155,24K Gold Plated Playing Cards,$59,$7,groupon.com
156,24K Gold Plated Playing Cards,$59,$7,groupon.com
157,1/2 Oz. Self Defense Pepper Spray with Hard Case and Key Ring,$14.99,$8.99,groupon.com
158,1/2 Oz. Self Defense Pepper Spray with Hard Case and Key Ring,$14.99,$8.99,groupon.com
159,Italian Made Sterling Silver Braided Herringbone Bracelet by Verona,$85.59,$12.99,groupon.com
160,Italian Made Sterling Silver Braided Herringbone Bracelet by Verona,$85.59,$12.99,groupon.com
161,Nioxin Cleanser and Scalp Therapy Conditioner Duo,$91,$33.99,groupon.com
162,Nioxin Cleanser and Scalp Therapy Conditioner Duo,$91,$33.99,groupon.com
163,Luxury Collection Oversized Quilts (2- or 3-Piece),$79.99,$27.99,groupon.com
164,Luxury Collection Oversized Quilts (2- or 3-Piece),$79.99,$27.99,groupon.com
165,"Huggle Hoodie Throw (1-, or 2-Pack)",$29.99,$22.99,groupon.com
166,"Huggle Hoodie Throw (1-, or 2-Pack)",$29.99,$22.99,groupon.com
167,AQS Men's Short-Cut Sport Boxer Briefs (6-Pack),$100,$34.99,groupon.com
168,AQS Men's Short-Cut Sport Boxer Briefs (6-Pack),$100,$34.99,groupon.com
169,Nina & Grace Pearl (5mm) Bolo Bracelet in Sterling Silver,$200,$16.99,groupon.com
170,Nina & Grace Pearl (5mm) Bolo Bracelet in Sterling Silver,$200,$16.99,groupon.com
171,Full Spectrum CBD Flower Buds from Bluum Lab,$24.99,$9.99,groupon.com
172,Full Spectrum CBD Flower Buds from Bluum Lab,$24.99,$9.99,groupon.com
173,"Huggle Hoodie Throw (1-, or 2-Pack)",$29.99,$22.99,groupon.com
174,"Huggle Hoodie Throw (1-, or 2-Pack)",$29.99,$22.99,groupon.com
175,"Huggle Hoodie Throw (1-, or 2-Pack)",$29.99,$22.99,groupon.com
176,"Huggle Hoodie Throw (1-, or 2-Pack)",$29.99,$22.99,groupon.com
177,"Huggle Hoodie Throw (1-, or 2-Pack)",$29.99,$22.99,groupon.com
178,"Huggle Hoodie Throw (1-, or 2-Pack)",$29.99,$22.99,groupon.com
179,"Huggle Hoodie Throw (1-, or 2-Pack)",$29.99,$22.99,groupon.com
180,"Huggle Hoodie Throw (1-, or 2-Pack)",$29.99,$22.99,groupon.com
181,"Huggle Hoodie Throw (1-, or 2-Pack)",$29.99,$22.99,groupon.com
182,"Huggle Hoodie Throw (1-, or 2-Pack)",$29.99,$22.99,groupon.com
183,"Huggle Hoodie Throw (1-, or 2-Pack)",$29.99,$22.99,groupon.com
184,"Huggle Hoodie Throw (1-, or 2-Pack)",$29.99,$22.99,groupon.com
185,AQS Men's Short-Cut Sport Boxer Briefs (6-Pack),$100,$34.99,groupon.com
186,AQS Men's Short-Cut Sport Boxer Briefs (6-Pack),$100,$34.99,groupon.com
187,Nina & Grace Pearl (5mm) Bolo Bracelet in Sterling Silver,$200,$16.99,groupon.com
188,Nina & Grace Pearl (5mm) Bolo Bracelet in Sterling Silver,$200,$16.99,groupon.com
189,Full Spectrum CBD Flower Buds from Bluum Lab,$24.99,$9.99,groupon.com
190,Full Spectrum CBD Flower Buds from Bluum Lab,$24.99,$9.99,groupon.com
191,"iMounTEK 20,800mAh Power Bank with Digital LCD Display and Flashlight",$54.99,$19.99,groupon.com
192,"iMounTEK 20,800mAh Power Bank with Digital LCD Display and Flashlight",$54.99,$19.99,groupon.com
193,"Superfeet Green Insoles, Professional - Grade High Arch Orthotic...",$72.99,$18.99,groupon.com
194,"Superfeet Green Insoles, Professional - Grade High Arch Orthotic...",$72.99,$18.99,groupon.com
195,Adaptive Rapid Fast Charging Wall Charger for Samsung Galaxy S7 S6...,$89.99,$11.99,groupon.com
196,Adaptive Rapid Fast Charging Wall Charger for Samsung Galaxy S7 S6...,$89.99,$11.99,groupon.com
197,Leo Rosi Women's Kendra Knit Top. Plus Sizes Available.,$63,$18.99,groupon.com
198,Leo Rosi Women's Kendra Knit Top. Plus Sizes Available.,$63,$18.99,groupon.com
199,Luxury Hoodie Sherpa-Lined Throw Blanket,$34.99,$19.99,groupon.com
200,Luxury Hoodie Sherpa-Lined Throw Blanket,$34.99,$19.99,groupon.com
201,CBD & Menthol Infused Pain Relief Cream from Sunset CBD (1000mg),$139.99,$31.99,groupon.com
202,CBD & Menthol Infused Pain Relief Cream from Sunset CBD (1000mg),$139.99,$31.99,groupon.com
203,Fun and Expressive Compression Socks (3 Pairs),$79.99,$12.99,groupon.com
204,Fun and Expressive Compression Socks (3 Pairs),$79.99,$12.99,groupon.com
205,Waloo Privacy TTempered Glass Screen Protector for iPhone,$19.99,$6.99,groupon.com
206,Waloo Privacy TTempered Glass Screen Protector for iPhone,$19.99,$6.99,groupon.com
207,Magnetic Genuine Leather Inspirational Bracelet by Pink Box,$50,$9.99,groupon.com
208,Magnetic Genuine Leather Inspirational Bracelet by Pink Box,$50,$9.99,groupon.com
209,To My Son or To My Daughter Dog Tag Necklace Stainless Steel...,$29.99,$3.99,groupon.com
210,To My Son or To My Daughter Dog Tag Necklace Stainless Steel...,$29.99,$3.99,groupon.com
211,"DevaCurl No-Poo, Low-Poo Shampoo Cleanser or Conditioner or Gift Set",$11,$7.99,groupon.com
212,"DevaCurl No-Poo, Low-Poo Shampoo Cleanser or Conditioner or Gift Set",$11,$7.99,groupon.com
213,Women's Slim-Fit Joggers with Zipper Pockets. Plus Sizes Available.,$29.99,$11.99,groupon.com
214,Women's Slim-Fit Joggers with Zipper Pockets. Plus Sizes Available.,$29.99,$11.99,groupon.com
215,"Pureology Shampoo, Conditioner, or Duo (8.5 or 33.8 Fl. Oz.)",$29.50,$14.99,groupon.com
216,"Pureology Shampoo, Conditioner, or Duo (8.5 or 33.8 Fl. Oz.)",$29.50,$14.99,groupon.com
217,Samsung USB Type C Cables Fast Dual Car Wall Charger for Galaxy S8...,$12.99,$4.49,groupon.com
218,Samsung USB Type C Cables Fast Dual Car Wall Charger for Galaxy S8...,$12.99,$4.49,groupon.com
219,Floopi Women's Indoor Outdoor Fur Lined Clog Slippers with Memory Foam,$90,$12.99,groupon.com
220,Floopi Women's Indoor Outdoor Fur Lined Clog Slippers with Memory Foam,$90,$12.99,groupon.com
221,Professional Premium Glow Makeup Brush Set (10-Piece),$69.99,$12.99,groupon.com
222,Professional Premium Glow Makeup Brush Set (10-Piece),$69.99,$12.99,groupon.com
223,Nioxin 3-Piece Hair System Kit (Multiple Options Available),$44,$24.99,groupon.com
224,Nioxin 3-Piece Hair System Kit (Multiple Options Available),$44,$24.99,groupon.com
225,AquaSonic Ultrasonic Toothbrush with 8 Dupont Brush Heads and Case,$139.99,$39.99,groupon.com
226,AquaSonic Ultrasonic Toothbrush with 8 Dupont Brush Heads and Case,$139.99,$39.99,groupon.com
227,Harrison Men's Fly Knit Wingtip Derby Shoes,$80,$29.99,groupon.com
228,Harrison Men's Fly Knit Wingtip Derby Shoes,$80,$29.99,groupon.com
229,Riverberry Women's Madi Ankle Strap High Heel Sandals,$39.99,$15.99,groupon.com
230,Riverberry Women's Madi Ankle Strap High Heel Sandals,$39.99,$15.99,groupon.com
231,Men's Long Sleeve Crew Neck Tee (S-3XL),$49.50,$9.99,groupon.com
232,Men's Long Sleeve Crew Neck Tee (S-3XL),$49.50,$9.99,groupon.com
